,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Sex,Grade,2018,2019,2020,2021,2022,
Male,A,201,360,589,791,856,
Male,A-,2180,3625,4049,3908,4620,
Male,B+,5179,8223,8815,8516,9802,
Male,B,10100,14688,14933,14761,17848,
Male,B-,15666,20401,21844,21848,27338,
Male,C+,20301,24732,30925,30839,36978,
Male,C,25903,31040,42606,39964,46060,
Male,C-,35700,40323,54131,48216,56460,
Male,D+,48628,49930,59520,57883,64674,
Male,D,72878,67974,59130,72069,75429,
Male,D-,81248,76176,66563,93851,83503,
Male,E,16793,16389,15218,26611,17899,
Female,A,114,271,304,349,303,
Female,A-,1239,2172,2372,2152,2064,
Female,B+,3119,5144,5612,5201,6273,
Female,B,6398,9804,10274,10475,13600,
Female,B-,10681,14977,16352,17900,21583,
Female,C+,15772,21438,27073,29036,33240,
Female,C,24138,32117,42853,41395,49310,
Female,C-,35729,43112,55329,51219,62740,
Female,D+,48237,51863,58369,58510,70031,
Female,D,75419,69841,62800,73925,79605,
Female,D-,84103,76226,70780,93495,83819,
Female,E,14061,12944,12812,19587,12639,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
